Category,User Type,Test Case Title,Description,Severity,Priority,Steps,Expected,Actual,Status
Checkout,standard_user,Verify Standard User Can Access Inventory After Login,Validate Standard User Can Access Inventory After Login,Critical,Critical,"1. Navigate to the application 2. Login as Standard User 3. Verify user lands on inventory page",User will be logged in and will be able to access inventory,User logged in and inventory page displays 6 products,Passed
Checkout,standard_user,Verify Successful End-to-End Checkout for Standard User,Validate Successful End-to-End Checkout for Standard User,Critical,Critical,"1. Navigate to the application 2. Login as Standard User 3. Add products from inventory and product detail pages 4. Proceed through checkout 5. Complete purchase",User successfully completes checkout and sees Thank you for your order page,Checkout completed successfully from detail and listing pages through order confirmation,Passed
Checkout,problem_user,Verify Checkout Completion for Problem User,Validate Checkout Completion for Problem User,High,High,"1. Navigate to the application 2. Login as Problem User 3. Add products to cart 4. Proceed to checkout 5. Fill checkout information including Last Name 6. Complete purchase",Problem User should complete checkout successfully,Last Name field is not editable and checkout cannot be completed,Failed
Checkout,standard_user,Verify Alternate Checkout Flow for Standard User,Validate Alternate Checkout Flow for Standard User,High,High,"1. Navigate to the application 2. Login as Standard User 3. Add product from product detail page 4. Proceed to cart and checkout 5. Complete purchase",User completes checkout from product detail page without returning to inventory,Checkout completed successfully from product detail page only,Passed
Checkout,performance_glitch_user,Verify Inventory Page Loads Successfully With Delays,Validate Inventory Page Loads Successfully With Delays,Medium,Medium,"1. Navigate to the application 2. Login as Performance Glitch User 3. Wait for delayed response 4. Verify inventory loads with all products",Inventory page loads after delay with all products visible,Inventory page loads after delay and displays 6 products,Passed
Checkout,performance_glitch_user,Verify Cart Page Loads Successfully With Delays,Validate Cart Page Loads Successfully With Delays,Medium,Medium,"1. Navigate to the application 2. Login as Performance Glitch User 3. Add products to cart 4. Open cart page 5. Verify items are displayed",Cart page loads with selected products despite delays,Cart page displays all selected products,Passed
Checkout,standard_user,Verify Mandatory Customer Information Validation,Validate Mandatory Customer Information Validation,High,High,"1. Navigate to the application 2. Login as Standard User 3. Add products to cart 4. Proceed to checkout 5. Submit with missing fields 6. Verify validation messages",Validation messages shown for missing mandatory fields,Validation messages displayed for missing first name last name and postal code,Passed
Checkout,performance_glitch_user,Verify Checkout Information Page Loads With Delays,Validate Checkout Information Page Loads With Delays,Medium,Medium,"1. Navigate to the application 2. Login as Performance Glitch User 3. Add products and proceed to checkout 4. Verify checkout information page fields and buttons",Checkout information page loads with all fields and buttons accessible,All checkout information fields and Continue and Cancel buttons are visible,Passed
Checkout,standard_user,Verify Cart Navigation From Order Confirmation Page,Validate Cart Navigation From Order Confirmation Page,High,Medium,"1. Navigate to the application 2. Login as Standard User 3. Add products and proceed through checkout 4. Cancel to inventory 5. Navigate to cart via cart icon 6. Complete order and verify cart icon on confirmation page",User can navigate to cart from inventory and order confirmation pages,Cart navigation works from inventory and order confirmation pages,Passed
Login,standard_user,Verify Successful Logout After Login,Validate Successful Logout After Login,High,High,"1. Navigate to the application 2. Login as Standard User 3. Open hamburger menu 4. Click Logout 5. Verify redirect to login page",User is logged out and redirected to login page,User logged out and redirected to login page,Passed
Login,locked_out_user,Verify Locked-Out User Cannot Log In,Validate Locked-Out User Cannot Log In,High,Critical,"1. Navigate to the application 2. Enter locked-out user credentials 3. Click Login 4. Verify error message",System prevents login and shows locked-out error,Locked-out error displayed and user remains on login page,Passed
Reset,standard_user,Verify Reset App State From Inventory Page,Validate Reset App State From Inventory Page,Medium,High,"1. Navigate to the application 2. Login as Standard User 3. Add products to cart 4. Open hamburger menu 5. Click Reset App State 6. Verify cart badge and product buttons",Cart badge cleared and Add to Cart buttons restored,Cart badge cleared but Remove buttons remain on products,Failed
Reset,standard_user,Verify Reset App State From Cart Page,Validate Reset App State From Cart Page,Medium,High,"1. Navigate to the application 2. Login as Standard User 3. Add products to cart 4. Open cart page 5. Reset app state from hamburger menu 6. Verify cart contents",Cart badge cleared and cart emptied,Cart badge cleared but items remain in cart,Failed
Reset,standard_user,Verify Reset App State During Checkout Information Step,Validate Reset App State During Checkout Information Step,Medium,Medium,"1. Navigate to the application 2. Login as Standard User 3. Add products and proceed to checkout step one 4. Reset app state 5. Continue to order overview",Order overview shows no products after reset,Order overview shows zero items after reset on checkout step one,Passed
Reset,standard_user,Verify Reset App State During Order Overview Step,Validate Reset App State During Order Overview Step,Medium,High,"1. Navigate to the application 2. Login as Standard User 3. Add products and proceed to order overview 4. Reset app state 5. Attempt to finish purchase",Cart cleared and purchase cannot be completed,Items still shown on order overview and purchase can still be completed,Failed
Inventory,standard_user,Verify Product Sort Name A to Z,Verify products sort alphabetically A to Z,Low,Low,"1. Navigate to the application 2. Login as Standard User 3. Open inventory page 4. Sort by Name A to Z 5. Verify product order",Products displayed in ascending alphabetical order,Products displayed in ascending alphabetical order,Passed
Inventory,standard_user,Verify Product Sort Name Z to A,Verify products sort alphabetically Z to A,Low,Low,"1. Navigate to the application 2. Login as Standard User 3. Open inventory page 4. Sort by Name Z to A 5. Verify product order",Products displayed in descending alphabetical order,Products displayed in descending alphabetical order,Passed
Inventory,standard_user,Verify Product Sort Price Low to High,Verify products sort by price low to high,Low,Low,"1. Navigate to the application 2. Login as Standard User 3. Open inventory page 4. Sort by Price Low to High 5. Verify product order",Products displayed in ascending price order,Products displayed in ascending price order,Passed
Inventory,standard_user,Verify Product Sort Price High to Low,Verify products sort by price high to low,Low,Low,"1. Navigate to the application 2. Login as Standard User 3. Open inventory page 4. Sort by Price High to Low 5. Verify product order",Products displayed in descending price order,Products displayed in descending price order,Passed
Inventory,standard_user,Verify Cart Badge Starts at Zero,Verify cart badge is zero before adding items,Medium,Medium,"1. Navigate to the application 2. Login as Standard User 3. Open inventory page without adding products 4. Verify cart badge count",Badge count is 0,Cart badge count is 0 on fresh inventory,Passed
Inventory,standard_user,Verify Adding One Product Updates Cart Badge,Verify badge increments when one product added,Critical,Critical,"1. Navigate to the application 2. Login as Standard User 3. Open inventory page 4. Add one product to cart 5. Verify cart badge count",Badge shows 1,Cart badge increments to 1 after adding one product,Passed
Inventory,standard_user,Verify Adding Three Products Updates Cart Badge,Verify badge shows 3 when three products added,High,Medium,"1. Navigate to the application 2. Login as Standard User 3. Open inventory page 4. Add three products to cart 5. Verify cart badge count",Badge shows 3,Cart badge shows 3 after adding three products,Passed
Inventory,standard_user,Verify Removing Product Decrements Cart Badge,Verify badge decrements when product removed,High,Medium,"1. Navigate to the application 2. Login as Standard User 3. Add two products to cart 4. Remove one product 5. Verify cart badge count",Badge shows 1,Cart badge decrements to 1 after removing one product,Passed
Inventory,standard_user,Verify Cart Badge Hidden When Cart Empty,Verify badge not visible when cart is empty,Medium,Low,"1. Navigate to the application 2. Login as Standard User 3. Open inventory page with empty cart 4. Verify cart badge visibility",Badge is not rendered,Cart badge is not visible when cart is empty,Passed
Inventory,standard_user,Verify Product Detail Page Elements Visible,Verify product detail page shows key elements,High,High,"1. Navigate to the application 2. Login as Standard User 3. Open product detail from inventory 4. Verify page elements",Description and add-to-cart button visible,Product description and add-to-cart button are visible on detail page,Passed
Inventory,standard_user,Verify Product Detail Shows Correct Name and Price,Verify product detail displays correct name and price,High,Medium,"1. Navigate to the application 2. Login as Standard User 3. Open product detail page 4. Verify product name and price",Name and price match product,Product name price and description match selected product,Passed
Inventory,standard_user,Verify Add to Cart From Product Detail Page,Verify add to cart from detail page updates cart,High,High,"1. Navigate to the application 2. Login as Standard User 3. Open product detail page 4. Add product to cart 5. Verify cart badge and button state",Badge increments and remove button shown,Cart badge increments and remove button is shown after add from detail page,Passed
Inventory,standard_user,Verify Back Button Returns to Inventory,Verify back button returns to inventory listing,Medium,Medium,"1. Navigate to the application 2. Login as Standard User 3. Open product detail page 4. Click back button 5. Verify inventory page",Inventory page with all products shown,Back navigation returns to inventory with 6 products visible,Passed
Cart,standard_user,Verify Added Products Appear in Cart,Verify added products are listed in cart,High,Critical,"1. Navigate to the application 2. Login as Standard User 3. Add products from inventory 4. Open cart page 5. Verify listed products",All added products appear in cart,All added products appear in cart,Passed
Cart,standard_user,Verify Removing Item Updates Cart Count,Verify removing item from cart updates count,High,Medium,"1. Navigate to the application 2. Login as Standard User 3. Add two products to cart 4. Open cart and remove one item 5. Verify cart count and items",Cart count decrements and item removed,Cart count and item list update correctly after removal,Passed
Cart,standard_user,Verify Continue Shopping Returns to Inventory,Verify continue shopping navigates to inventory,Medium,Medium,"1. Navigate to the application 2. Login as Standard User 3. Open cart page 4. Click Continue Shopping 5. Verify inventory page",Inventory page displayed with products,Continue Shopping returns to inventory with 6 products visible,Passed
Cart,standard_user,Verify Empty Cart Shows No Items,Verify empty cart has no line items,Medium,Medium,"1. Navigate to the application 2. Login as Standard User 3. Navigate to empty cart page 4. Verify cart contents",Cart title visible with zero items,Empty cart shows title with zero line items,Passed
Cart,standard_user,Verify Cart Persists After Page Reload,Verify cart items persist after reload,High,Medium,"1. Navigate to the application 2. Login as Standard User 3. Add product to cart 4. Reload page 5. Verify cart badge count",Badge still shows added item,Cart badge persists after page reload,Passed
Cart,standard_user,Verify Removed Inventory Items Do Not Appear in Checkout Flow,Verify products removed on inventory do not appear in cart or checkout,High,High,"1. Navigate to the application 2. Login as Standard User 3. Add three products from inventory 4. Remove two products from inventory 5. Open cart and proceed through checkout 6. Verify removed items are absent at every stage through order completion",Only remaining product appears through checkout and confirmation,Removed items absent from cart order overview and confirmation through full checkout,Passed
Checkout,standard_user,Verify User Can Add More Products and Complete Checkout After Reaching Order Overview,Verify user can leave order overview add more items and complete checkout,High,High,"1. Navigate to the application 2. Login as Standard User 3. Add product and reach order overview 4. Cancel to inventory 5. Add more products 6. Checkout again and complete purchase",Order overview updates with all items and checkout completes successfully,Order overview updated with all items and checkout completed successfully,Passed
Checkout,standard_user,Verify Order Summary Subtotal Matches Product Prices,Verify order summary subtotal matches product prices,High,Medium,"1. Navigate to the application 2. Login as Standard User 3. Add products to cart 4. Proceed to order overview 5. Verify subtotal",Subtotal equals sum of product prices,Subtotal equals sum of added product prices,Passed
Checkout,standard_user,Verify Order Total Equals Subtotal Plus Tax,Verify order total equals subtotal plus tax,High,Medium,"1. Navigate to the application 2. Login as Standard User 3. Add product to cart 4. Proceed to order overview 5. Verify total",Total equals subtotal plus tax,Total equals subtotal plus tax,Passed
Login,standard_user,Verify Wrong Password Shows Credentials Error,Verify wrong password shows credentials error,High,High,"1. Navigate to the application 2. Enter valid username with wrong password 3. Click Login 4. Verify error message",Credentials mismatch error shown,Credentials mismatch error displayed on wrong password,Passed
Login,standard_user,Verify Empty Username Shows Required Error,Verify empty username shows required error,Medium,Medium,"1. Navigate to the application 2. Leave username empty 3. Enter password 4. Click Login 5. Verify error message",Username required error shown,Username required error displayed,Passed
Login,standard_user,Verify Empty Password Shows Required Error,Verify empty password shows required error,Medium,Medium,"1. Navigate to the application 2. Enter username 3. Leave password empty 4. Click Login 5. Verify error message",Password required error shown,Password required error displayed,Passed
Login,standard_user,Verify Both Fields Empty Shows Username Required First,Verify both empty fields show username error first,Medium,Low,"1. Navigate to the application 2. Leave username and password empty 3. Click Login 4. Verify error message",Username required error shown first,Username required error displayed when both fields are empty,Passed
Authentication,problem_user,Verify Problem User Product Images Are Mismatched,Verify problem user sees mismatched product images,Medium,Medium,"1. Navigate to the application 2. Login as Problem User 3. Open inventory page 4. Verify product images match product names",At least one product image does not match name,At least one product image does not match product name,Passed
Authentication,visual_user,Verify Visual User Can Access Inventory,Verify visual user can access inventory,Low,Low,"1. Navigate to the application 2. Login as Visual User 3. Open inventory page 4. Verify product count",Inventory shows 6 products,Inventory page displays 6 products,Passed
Authentication,error_user,Verify Error User Can Access Inventory,Verify error user can access inventory,Low,Low,"1. Navigate to the application 2. Login as Error User 3. Open inventory page 4. Verify product count",Inventory shows 6 products,Inventory page displays 6 products,Passed
