Category,User Type,Test Case Title,Description,Severity,Priority,Steps,Expected,Actual,Status
GET,anonymous,Verify GET All Carts Returns Valid Cart List,Validate GET /carts returns a non-empty array matching cart list schema,High,High,"1. Send GET request to /carts 2. Verify response status code 3. Verify response body is a non-empty array 4. Verify each cart matches cart list schema",Response status is 200 and body is a valid non-empty cart array,Response status 200 with valid non-empty cart array returned,Passed
GET,anonymous,Verify GET Cart By Id Returns Valid Cart Schema,Validate GET /carts/:id returns a single cart matching cart schema,High,High,"1. Send GET request to /carts/1 2. Verify response status code 3. Verify response body matches cart schema 4. Verify cart id equals requested id",Response status is 200 and body is a valid cart with matching id,Response status 200 with valid cart object and id 1 returned,Passed
GET,anonymous,Verify Cart Products Array Contains ProductId And Quantity,Validate cart products array includes required product fields,High,Medium,"1. Send GET request to /carts/1 2. Verify products array is not empty 3. Verify each product has productId 4. Verify each product has quantity",Each product in cart contains productId and quantity fields,All products contain productId and quantity fields,Passed
GET,anonymous,Verify GET Non-Existent Cart Id Returns Null Or Error,Validate GET /carts/:id for invalid id handles missing resource,Medium,Medium,"1. Send GET request to /carts/99999 2. Verify response indicates cart not found",Response is null body or returns 404 error,Null response or 404 error returned for non-existent cart id,Passed
POST,anonymous,Verify POST Creates Cart And Returns New Id,Validate POST /carts creates a cart and returns a new numeric id,Critical,Critical,"1. Build cart payload with productId and quantity 2. Send POST request to /carts 3. Verify response status code 4. Verify response contains new numeric id 5. Verify response matches cart schema",Response status is success and body contains a new valid cart id,Cart created with new numeric id and valid cart schema,Passed
PUT,anonymous,Verify PUT Fully Replaces Cart And Returns Updated Id,Validate PUT /carts/:id replaces entire cart resource,High,High,"1. Build full cart replacement payload 2. Send PUT request to /carts/1 3. Verify response status code 4. Verify response id matches requested cart id",Response status is success and cart id in response is 1,Cart fully replaced and response id is 1,Passed
PATCH,anonymous,Verify PATCH Partially Updates Cart,Validate PATCH /carts/:id updates only specified cart fields,High,High,"1. Build partial cart update payload 2. Send PATCH request to /carts/1 3. Verify response status code 4. Verify response contains cart id",Response status is success and updated cart id is returned,Cart partially updated and valid cart id returned,Passed
DELETE,anonymous,Verify DELETE Returns Deleted Cart Object,Validate DELETE /carts/:id removes cart and returns deleted object,High,High,"1. Send DELETE request to /carts/6 2. Verify response status code 3. Verify response body contains deleted cart id",Response status is success and deleted cart id is 6,Deleted cart object returned with id 6,Passed
POST,anonymous,Verify POST With Empty Products Array Returns Cart Id,Validate POST /carts with empty products array is handled by API,Medium,Medium,"1. Build cart payload with empty products array 2. Send POST request to /carts 3. Verify response status code 4. Verify response contains cart id",Response status is success and cart id is returned despite empty products,Cart id returned for empty products array,Passed
PUT,anonymous,Verify PUT Non-Existent Cart Returns Simulated Response,Validate PUT /carts/:id for invalid id does not crash API,Medium,Low,"1. Build cart payload 2. Send PUT request to /carts/99999 3. Verify response status code",Response status is success with simulated update response,Success response returned for non-existent cart id,Passed
DELETE,anonymous,Verify DELETE Non-Existent Cart Returns Simulated Response,Validate DELETE /carts/:id for invalid id does not crash API,Medium,Low,"1. Send DELETE request to /carts/99999 2. Verify response status code",Response status is success with simulated delete response,Success response returned for non-existent cart id,Passed
PATCH,anonymous,Verify PATCH With Empty Body Returns Response Without Error,Validate PATCH /carts/:id with empty body is handled gracefully,Medium,Medium,"1. Send PATCH request to /carts/1 with empty body 2. Verify response status code",Response status is success without server error,Success response returned for empty PATCH body,Passed
Authentication,authenticated_user,Verify Authenticated GET Carts Returns Data With Bearer Token,Validate authenticated GET /carts works with JWT Bearer token,High,High,"1. Send POST request to /auth/login with valid credentials 2. Extract token from response 3. Send GET request to /carts with Bearer token 4. Verify response status and body",Authenticated request returns success status and cart array,Cart list returned successfully with valid Bearer token,Passed
Schema Validation,anonymous,Verify Cart Products Have Valid ProductId And Quantity Types,Validate cart product items have correct numeric field types,High,Medium,"1. Send GET request to /carts/1 2. Verify products array is not empty 3. Verify productId is a positive number 4. Verify quantity is a positive number",All product items have numeric productId and quantity greater than zero,All product items have valid positive numeric productId and quantity,Passed
Schema Validation,anonymous,Verify Cart Id And UserId Are Positive Integers,Validate cart id and userId fields are positive integers,High,Medium,"1. Send GET request to /carts/2 2. Verify id is a positive integer 3. Verify userId is a positive integer",Cart id and userId are positive integers,Cart id and userId are positive integers,Passed
Schema Validation,anonymous,Verify Cart Date Field Is Non-Empty String,Validate cart date field is present and non-empty,Medium,Medium,"1. Send GET request to /carts/1 2. Verify date field is a string 3. Verify date field is not empty",Cart date is a non-empty string,Cart date is a non-empty string,Passed
Data-driven,anonymous,Verify POST Creates Cart For ProductId 1,Validate cart creation for electronics product Fjallraven backpack,Medium,Medium,"1. Build cart payload with productId 1 and quantity 1 2. Send POST request to /carts 3. Verify response status code 4. Verify response contains positive numeric cart id",Cart created successfully with valid id for productId 1,Cart created with valid id for productId 1,Passed
Data-driven,anonymous,Verify POST Creates Cart For ProductId 5,Validate cart creation for men's clothing product John Hardy bracelet,Medium,Medium,"1. Build cart payload with productId 5 and quantity 2 2. Send POST request to /carts 3. Verify response status code 4. Verify response contains positive numeric cart id",Cart created successfully with valid id for productId 5,Cart created with valid id for productId 5,Passed
Data-driven,anonymous,Verify POST Creates Cart For ProductId 8,Validate cart creation for women's clothing product Pierced Owl ring,Medium,Medium,"1. Build cart payload with productId 8 and quantity 1 2. Send POST request to /carts 3. Verify response status code 4. Verify response contains positive numeric cart id",Cart created successfully with valid id for productId 8,Cart created with valid id for productId 8,Passed
Data-driven,anonymous,Verify POST Creates Cart For ProductId 12,Validate cart creation for jewelery product White Gold Diamond Ring,Medium,Medium,"1. Build cart payload with productId 12 and quantity 3 2. Send POST request to /carts 3. Verify response status code 4. Verify response contains positive numeric cart id",Cart created successfully with valid id for productId 12,Cart created with valid id for productId 12,Passed
Data-driven,anonymous,Verify POST Creates Cart For ProductId 20,Validate cart creation for electronics product SanDisk SSD,Medium,Medium,"1. Build cart payload with productId 20 and quantity 1 2. Send POST request to /carts 3. Verify response status code 4. Verify response contains positive numeric cart id",Cart created successfully with valid id for productId 20,Cart created with valid id for productId 20,Passed
Contract,anonymous,Verify GET Cart Response Shape Conforms To Committed Snapshot,Validate GET /carts/1 response structure matches committed contract snapshot,High,High,"1. Send GET request to /carts/1 2. Verify all required top-level fields are present 3. Verify field types match snapshot 4. Verify each product item fields and types match snapshot",Response shape and field types match committed cart snapshot,Response shape and field types match committed cart snapshot,Passed
Security,anonymous,Verify GET Carts Without Authorization Token Returns Unauthorized,Validate API denies access when Bearer token is missing,High,High,"1. Ensure no Authorization header is set 2. Send GET request to /carts 3. Verify response status code",Response status is 401 Unauthorized,API returns 200 with non-empty cart array without authentication,Failed
Security,anonymous,Verify GET Carts With Malformed Bearer Token Returns Unauthorized,Validate API rejects malformed Bearer token on GET /carts,High,High,"1. Set Authorization header with malformed Bearer token 2. Send GET request to /carts 3. Verify response status code",Response status is 401 Unauthorized,API returns 200 with cart data for malformed Bearer token,Failed
POST,anonymous,Verify POST With Invalid ProductId Returns Validation Error,Validate API behavior for non-existent product ids,High,High,"1. Build cart payload with invalid productId 99999 2. Send POST request to /carts 3. Verify response status code",Response status is 400 with validation error,API returns success response for invalid productId,Failed
POST,anonymous,Verify POST With Negative Quantity Returns Validation Error,Validate API rejects negative quantities,High,High,"1. Build cart payload with negative quantity 2. Send POST request to /carts 3. Verify response status code",Response status is 400 with validation error,API returns success response for negative quantity,Failed
POST,anonymous,Verify POST Without Products Field Returns Validation Error,Validate API rejects payload without products field,High,High,"1. Build cart payload without products field 2. Send POST request to /carts 3. Verify response status code",Response status is 400 with validation error,API returns success response for payload without products field,Failed
PATCH,anonymous,Verify PATCH Does Not Modify Unspecified Fields,Validate partial update affects only provided fields,High,High,"1. Send GET request to /carts/1 and capture userId and date 2. Send PATCH request with products only 3. Verify userId and date are unchanged 4. Verify products reflect patch",Unspecified fields remain unchanged and products are updated,Unspecified fields remain unchanged and products are updated,Passed
Contract Testing,anonymous,Verify GET All Carts Response Matches Contract Schema,Validate collection response structure remains backward compatible,High,High,"1. Send GET request to /carts 2. Verify response is a non-empty array 3. Verify each cart matches committed contract snapshot",All carts in collection match committed contract schema,All carts in collection match committed contract schema,Passed
Schema Validation,anonymous,Verify Cart Dates Follow ISO-8601 Format,Validate date field follows standard ISO format,Medium,Medium,"1. Send GET request to /carts/1 2. Verify date field matches ISO-8601 format",Cart date follows ISO-8601 format,Cart date follows ISO-8601 format,Passed
Security,anonymous,Verify GET Carts With Tampered JWT Payload Returns Unauthorized,Validate API rejects JWT with tampered payload on GET /carts,High,High,"1. Login with valid credentials and obtain token 2. Tamper JWT payload with attacker claims 3. Send GET request to /carts with tampered Bearer token 4. Verify response status code",Response status is 401 Unauthorized,API returns 200 with cart data for tampered JWT payload,Failed
Security,anonymous,Verify GET Carts With Empty Bearer Token Returns Unauthorized,Validate API rejects empty Bearer token on GET /carts,High,High,"1. Set Authorization header with empty Bearer token 2. Send GET request to /carts 3. Verify response status code",Response status is 401 Unauthorized,API returns 200 with cart data for empty Bearer token,Failed
Security,anonymous,Verify Unauthenticated Client Can Read Any Cart By Id,Validate IDOR — any cart id is readable without authentication,High,High,"1. Clear auth token 2. Send GET request to /carts/1 3. Send GET request to /carts/2 4. Verify both return 200 5. Verify each response id matches requested id",Access denied or scoped to authorized user only,Unauthenticated client can read carts 1 and 2 successfully,Failed
Security,authenticated_user,Verify Authenticated Client Can Read Carts Belonging To Other Users,Validate IDOR — authenticated user can read another users cart,High,High,"1. Login with valid credentials 2. Send GET request to /carts/3 with Bearer token 3. Verify response status is 200 4. Verify cart id is 3",Access denied when cart does not belong to authenticated user,Authenticated client can read foreign cart id 3,Failed
Security,anonymous,Verify Unauthenticated Client Can Mutate Another Users Cart,Validate IDOR — unauthenticated PATCH can modify another users cart,High,High,"1. Clear auth token 2. Send PATCH request to /carts/2 with new products array 3. Verify response status is 200 4. Verify response id is 2 5. Verify products reflect patch payload",Access denied for cross-user cart mutation,Unauthenticated PATCH to /carts/2 returns 200 with updated products in response,Failed
Security,anonymous,Verify Unauthenticated POST Carts Creates Cart,Validate write operation is allowed without authentication,High,High,"1. Clear auth token 2. Build cart payload with productId and quantity 3. Send POST request to /carts 4. Verify response status is success 5. Verify response contains cart id",Response status is 401 Unauthorized,Unauthenticated POST /carts creates cart and returns new id,Failed
Security,anonymous,Verify Unauthenticated DELETE Carts Returns Success,Validate delete operation is allowed without authentication,High,High,"1. Clear auth token 2. Send DELETE request to /carts/5 3. Verify response status is success 4. Verify response body contains deleted cart id",Response status is 401 Unauthorized,Unauthenticated DELETE /carts/5 returns success with deleted cart object,Failed
Security,anonymous,Verify Invalid Token Blocks PUT Carts,Validate PUT /carts/:id is blocked when Bearer token is invalid,High,High,"1. Set Authorization header with invalid Bearer token 2. Send PUT request to /carts/1 with full cart payload 3. Verify response status code",Response status is 401 Unauthorized,PUT /carts/1 succeeds with invalid Bearer token,Failed
